task_id,model_name,split,label,entry_point,libs,meta_parse_error,classical_loc,classical_cyclomatic_complexity,classical_max_nesting_depth,ast_if_count,ast_for_count,ast_while_count,ast_try_count,ast_except_count,ast_return_count,ast_import_count,ast_has_error_handling,align_lib_coverage,align_missing_libs,align_length_ratio,smell_hardcoded_return_funcs,smell_is_very_short,logreg_prob,logreg_pred,lgbm_prob,lgbm_pred
BigCodeBench/4,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'itertools']",0,7,1,0,0,0,0,0,0,1,2,0,0.4,3,1.9105,0,0,0.6724125364675045,1,0.7254663238036821,1
BigCodeBench/5,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random']",0,12,3,1,0,1,0,0,0,2,2,0,0.3333,2,2.8014,0,0,0.5593476110942622,1,0.46545225429224024,0
BigCodeBench/13,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['subprocess', 'ftplib', 'os']",0,23,6,4,2,1,0,1,1,2,3,1,0.5,1,1.7902,0,0,0.27249867392399263,0,0.3404676324268996,0
BigCodeBench/18,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['glob', 'subprocess', 'random', 'os', 'csv']",0,20,5,3,1,1,0,1,1,3,5,1,0.3333,2,2.4189,0,0,0.2878191011926631,0,0.2353615835668435,0
BigCodeBench/32,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['bs4', 'requests']",0,14,3,2,1,0,0,1,1,3,2,1,0.5,1,2.5304,0,0,0.4551008319202191,0,0.3557803968289882,0
BigCodeBench/34,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 're', 'wordcloud']",0,13,2,1,1,0,0,0,0,1,3,0,1.0,0,2.9301,0,0,0.5664281089521073,1,0.5091815819822858,1
BigCodeBench/39,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,16,5,0,0,0,0,0,0,1,3,0,0.6,2,2.189,0,0,0.4379157335424099,0,0.41294657806218804,0
BigCodeBench/41,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib', 'scipy']",0,12,2,0,0,0,0,0,0,1,4,0,0.75,1,2.5062,0,0,0.5309745062603168,1,0.5228297935274517,1
BigCodeBench/42,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,15,2,0,0,0,0,0,0,1,4,0,0.6,2,1.7516,0,0,0.4964479343943428,0,0.48680628533463993,0
BigCodeBench/49,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 'matplotlib']",0,14,3,1,1,0,0,0,0,1,3,0,0.6,2,1.7309,0,0,0.5413332090854674,1,0.496347494994385,0
BigCodeBench/63,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,7,1,0,0,0,0,0,0,1,2,0,0.6667,1,2.1518,0,0,0.6492941323198165,1,0.7195400467311512,1
BigCodeBench/65,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,11,1,0,0,0,0,0,0,1,2,0,0.6667,1,2.0522,0,0,0.5985081174288267,1,0.6111618859066432,1
BigCodeBench/76,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['django', 'string', 'random']",0,12,7,1,2,0,0,0,0,1,3,0,0.0,1,2.8727,0,0,0.48792159736752483,0,0.5279798502030595,1
BigCodeBench/81,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['flask_restful', 'flask', 'requests']",0,12,1,0,0,0,0,0,0,2,3,0,0.25,3,2.1887,0,0,0.6018478898873842,1,0.5189765708305467,1
BigCodeBench/93,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'matplotlib', 'sklearn']",0,16,4,1,1,0,0,0,0,1,4,0,0.6667,2,2.5282,0,0,0.4826085021133685,0,0.46480832488932694,0
BigCodeBench/94,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,14,1,0,0,0,0,0,0,1,3,0,0.6,2,1.7822,0,0,0.5530487619294688,1,0.5478883866098049,1
BigCodeBench/102,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'sklearn', 'matplotlib', 'seaborn']",0,10,1,0,0,0,0,0,0,1,4,0,0.75,1,1.8352,0,0,0.5727856082723364,1,0.5908543663657002,1
BigCodeBench/105,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'seaborn']",0,23,5,1,3,0,0,0,0,1,3,0,0.5,2,3.1275,0,0,0.45747463832663826,0,0.4007118153804673,0
BigCodeBench/106,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,32,6,1,3,1,0,0,0,1,3,0,0.6,2,3.2409,0,0,0.31811945844653466,0,0.40222089530613025,0
BigCodeBench/112,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib']",0,13,3,1,2,0,0,0,0,1,2,0,0.5,2,2.3744,0,0,0.6116479605075051,1,0.5521174236823468,1
