task_id,model_name,split,label,entry_point,libs,meta_parse_error,classical_loc,classical_cyclomatic_complexity,classical_max_nesting_depth,ast_if_count,ast_for_count,ast_while_count,ast_try_count,ast_except_count,ast_return_count,ast_import_count,ast_has_error_handling,align_lib_coverage,align_missing_libs,align_length_ratio,smell_hardcoded_return_funcs,smell_placeholder_hits,smell_is_very_short,smell_relative_length,logreg_prob,logreg_pred,lgbm_prob,lgbm_pred
BigCodeBench/4,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'itertools']",0,7,1,0,0,0,0,0,0,1,2,0,1.0,0,1.9105,0,0,0,1.1667,0.7067346650225185,1,0.8276098039329585,1
BigCodeBench/5,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random']",0,12,3,1,0,1,0,0,0,2,2,0,1.0,0,2.8014,0,0,0,1.2,0.5800805038548764,1,0.5406991556641588,1
BigCodeBench/13,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['subprocess', 'ftplib', 'os']",0,23,6,4,2,1,0,1,1,2,3,1,1.0,0,1.7902,0,0,0,0.9583,0.2331393814783157,0,0.3322246568093676,0
BigCodeBench/18,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['glob', 'subprocess', 'random', 'os', 'csv']",0,20,5,3,1,1,0,1,1,3,5,1,1.0,0,2.4189,0,0,0,0.8696,0.23562313406602528,0,0.28143430875233405,0
BigCodeBench/32,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['bs4', 'requests']",0,14,3,2,1,0,0,1,1,3,2,1,1.0,0,2.5304,0,0,0,1.0,0.4443076779341276,0,0.4001427365735976,0
BigCodeBench/34,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 're', 'wordcloud']",0,13,2,1,1,0,0,0,0,1,3,0,1.0,0,2.9301,0,0,0,1.0,0.583714768128103,1,0.567094383813485,1
BigCodeBench/39,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,16,5,0,0,0,0,0,0,1,3,0,1.0,0,2.189,0,0,0,0.9143,0.3697473248114826,0,0.3520172602635672,0
BigCodeBench/41,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib', 'scipy']",0,12,2,0,0,0,0,0,0,1,4,0,1.0,0,2.5062,0,0,0,1.0,0.5401641051723208,1,0.5842499260422882,1
BigCodeBench/42,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,15,2,0,0,0,0,0,0,1,4,0,1.0,0,1.7516,0,0,0,0.9375,0.4623156956205009,0,0.5038371948169614,1
BigCodeBench/49,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 'matplotlib']",0,14,3,1,1,0,0,0,0,1,3,0,1.0,0,1.7309,0,0,0,1.0,0.5297190713094122,1,0.5240563370653111,1
BigCodeBench/63,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,7,1,0,0,0,0,0,0,1,2,0,1.0,0,2.1518,0,0,0,0.7778,0.624884968315593,1,0.6893080517100371,1
BigCodeBench/65,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,11,1,0,0,0,0,0,0,1,2,0,1.0,0,2.0522,0,0,0,0.8462,0.5656957790394253,1,0.5414351552063924,1
BigCodeBench/76,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['django', 'string', 'random']",0,12,7,1,2,0,0,0,0,1,3,0,1.0,0,2.8727,0,0,0,1.0,0.5149438467343412,1,0.6081163828741554,1
BigCodeBench/81,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['flask_restful', 'flask', 'requests']",0,12,1,0,0,0,0,0,0,2,3,0,1.0,0,2.1887,0,0,0,1.0,0.5800330105498099,1,0.6110688010534223,1
BigCodeBench/93,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'matplotlib', 'sklearn']",0,16,4,1,1,0,0,0,0,1,4,0,1.0,0,2.5282,0,0,0,1.0,0.4592320017395271,0,0.5145091711742535,1
BigCodeBench/94,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,14,1,0,0,0,0,0,0,1,3,0,1.0,0,1.7822,0,0,0,1.0,0.53391566831569,1,0.5823019294107974,1
BigCodeBench/102,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'sklearn', 'matplotlib', 'seaborn']",0,10,1,0,0,0,0,0,0,1,4,0,1.0,0,1.8352,0,0,0,0.9091,0.579601048312204,1,0.6036189512869028,1
BigCodeBench/105,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'seaborn']",0,23,5,1,3,0,0,0,0,1,3,0,1.0,0,3.1275,0,0,0,1.2105,0.45967287376555505,0,0.42841767121190166,0
BigCodeBench/106,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,32,6,1,3,1,0,0,0,1,3,0,1.0,0,3.2409,0,0,0,1.3333,0.2932830496518489,0,0.4214505039781096,0
BigCodeBench/112,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib']",0,13,3,1,2,0,0,0,0,1,2,0,1.0,0,2.3744,0,0,0,1.0833,0.6294804074431666,1,0.6133335445584729,1
BigCodeBench/117,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'random']",0,18,8,1,3,0,0,0,0,1,3,0,1.0,0,2.245,0,0,0,1.0,0.4176059155994451,0,0.5067927965944089,1
BigCodeBench/141,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['statistics', 'pandas', 'numpy']",0,16,4,1,1,1,0,0,0,1,3,0,1.0,0,0.5571,0,0,0,1.0667,0.46387214093538653,0,0.5109737202106068,1
BigCodeBench/157,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'seaborn']",0,16,3,1,2,0,0,0,0,1,4,0,1.0,0,2.3461,0,0,0,1.0667,0.5511854205987297,1,0.5202409112457727,1
BigCodeBench/161,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 're']",0,21,4,2,2,1,0,0,0,1,3,0,1.0,0,3.1421,0,0,0,0.913,0.39953563649657226,0,0.4072596490242877,0
BigCodeBench/167,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'random', 'matplotlib']",0,12,3,0,0,0,0,0,0,1,3,0,1.0,0,2.2774,0,0,0,1.0,0.5205729812943655,1,0.5853748270334956,1
BigCodeBench/177,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['nltk', 'string', 're']",0,15,5,1,1,1,0,0,0,1,4,0,1.0,0,1.1315,0,0,0,0.8824,0.406408727562614,0,0.3883536652589314,0
BigCodeBench/182,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['re', 'sklearn']",0,10,1,0,0,0,0,0,0,1,4,0,1.0,0,2.5188,0,0,0,0.9091,0.5839141043320975,1,0.6213710521373922,1
BigCodeBench/189,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['re', 'requests', 'json']",0,15,5,4,1,2,0,1,1,2,3,1,1.0,0,2.2857,0,0,0,1.1538,0.37974446480726365,0,0.3095939349804223,0
BigCodeBench/205,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['subprocess', 'multiprocessing']",0,12,3,1,1,0,0,0,0,3,2,0,1.0,0,1.6216,0,0,0,1.0,0.5871654493316296,1,0.5237972838889963,1
BigCodeBench/207,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['re', 'requests']",0,7,1,0,0,0,0,0,0,1,3,0,1.0,0,2.5993,0,0,0,0.7,0.6008465408056028,1,0.5481256032370573,1
BigCodeBench/212,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['operator', 'numpy', 'matplotlib']",0,13,1,0,0,0,0,0,0,1,3,0,1.0,0,2.443,0,0,0,1.0,0.5573409707421617,1,0.6216983673720247,1
BigCodeBench/214,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'random', 'cv2']",0,14,2,1,1,0,0,0,0,1,4,0,1.0,0,2.4863,0,0,0,1.0,0.5526383894101289,1,0.5364345169710422,1
BigCodeBench/216,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'collections', 'json', 'os']",0,14,3,3,1,1,0,0,0,1,4,0,0.75,1,3.5952,0,0,0,0.875,0.49816609971473996,0,0.43838349712742847,0
BigCodeBench/223,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'sklearn']",0,17,4,1,2,1,0,0,0,1,2,0,1.0,0,0.7806,0,0,0,1.0,0.48893771154629245,0,0.5446410838969401,1
BigCodeBench/266,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['csv', 'collections', 'os']",0,20,5,3,2,2,0,0,0,1,4,0,1.0,0,3.8297,0,0,0,1.0526,0.41306599762220525,0,0.3388127551316328,0
BigCodeBench/270,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 're']",0,5,1,0,0,0,0,0,0,1,2,0,1.0,0,1.6347,0,0,0,0.8333,0.6693520063605934,1,0.7791070134781378,1
BigCodeBench/275,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['numpy', 'itertools']",0,6,2,1,1,0,0,0,0,1,2,0,1.0,0,1.7871,0,0,0,0.9231,0.6928709640342009,1,0.8094813126841378,1
BigCodeBench/277,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random', 'itertools']",0,15,5,2,2,1,0,0,0,2,3,0,1.0,0,2.4183,0,0,0,1.0,0.5083132601478856,1,0.46965448197925297,0
BigCodeBench/279,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'random']",0,7,4,0,0,0,0,0,0,1,2,0,1.0,0,1.6003,0,0,0,0.6364,0.5069576389926785,1,0.35355374273725,0
BigCodeBench/286,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['csv', 'collections', 'os']",0,21,4,4,1,1,0,1,1,2,3,1,1.0,0,3.1136,0,0,0,0.9545,0.27233230987036644,0,0.2944522352901113,0
BigCodeBench/287,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['json', 'collections', 'os']",0,15,3,3,1,1,0,0,0,1,3,0,1.0,0,3.5053,0,0,0,1.0,0.5172627390252246,1,0.5403009523232137,1
BigCodeBench/290,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['nltk', 'collections', 'os']",0,14,5,3,1,1,0,0,0,1,4,0,1.0,0,2.9075,0,0,0,0.9333,0.4520489131260105,0,0.47491279421643684,0
BigCodeBench/296,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,12,2,1,1,0,0,0,0,1,2,0,1.0,0,1.9954,0,0,0,0.9231,0.5877692122079977,1,0.5629075636080908,1
BigCodeBench/300,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'scipy']",0,17,3,1,1,0,0,0,0,1,3,0,1.0,0,1.9956,0,0,0,1.0,0.47346679066807673,0,0.5104290702247967,1
BigCodeBench/301,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['dateutil', 'math', 'numpy', 'pytz']",0,16,1,0,0,0,0,0,0,1,4,0,1.0,0,3.1314,0,0,0,1.1429,0.5290336055342254,1,0.5498645761247458,1
BigCodeBench/311,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['random', 'numpy', 'scipy']",0,14,3,2,1,1,0,0,0,1,3,0,1.0,0,2.585,0,0,0,1.0,0.5288809351146997,1,0.5375863970933121,1
BigCodeBench/313,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['shutil', 'datetime', 're', 'os']",0,27,7,4,5,1,0,0,0,1,4,0,1.0,0,3.6679,0,0,0,1.2273,0.4220946966334146,0,0.34491062007770606,0
BigCodeBench/314,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['http', 'socket', 'ssl']",0,13,1,0,0,0,0,0,0,1,3,0,1.0,0,2.6936,0,0,0,0.9286,0.5418855794703084,1,0.5758446390788007,1
BigCodeBench/317,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 're', 'sklearn']",0,11,1,0,0,0,0,0,0,1,3,0,1.0,0,3.2451,0,0,0,1.0,0.6001088279124149,1,0.6652961396622706,1
