task_id,model_name,split,label,entry_point,libs,meta_parse_error,classical_loc,classical_cyclomatic_complexity,classical_max_nesting_depth,ast_if_count,ast_for_count,ast_while_count,ast_try_count,ast_except_count,ast_return_count,ast_import_count,ast_has_error_handling,align_lib_coverage,align_missing_libs,align_length_ratio,smell_hardcoded_return_funcs,smell_placeholder_hits,smell_is_very_short,smell_relative_length,logreg_prob,logreg_pred,lgbm_prob,lgbm_pred,rf_prob,rf_pred
BigCodeBench/4,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'itertools']",0,7,1,0,0,0,0,0,0,1,2,0,1.0,0,1.9105,0,0,0,1.1667,0.7090361898381103,1,0.7084595844662936,1,0.7823358452276907,1
BigCodeBench/5,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random']",0,12,3,1,0,1,0,0,0,2,2,0,1.0,0,2.8014,0,0,0,1.2,0.6268654757348942,1,0.5024687635333569,1,0.5236399558421121,1
BigCodeBench/13,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['subprocess', 'ftplib', 'os']",0,23,6,4,2,1,0,1,1,2,3,1,1.0,0,1.7902,0,0,0,0.9583,0.20238183354981357,0,0.1805322376007269,0,0.3375226244170097,0
BigCodeBench/18,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['glob', 'subprocess', 'random', 'os', 'csv']",0,20,5,3,1,1,0,1,1,3,5,1,1.0,0,2.4189,0,0,0,0.8696,0.1696282186177961,0,0.10448994481029034,0,0.34458603856828296,0
BigCodeBench/32,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['bs4', 'requests']",0,14,3,2,1,0,0,1,1,3,2,1,1.0,0,2.5304,0,0,0,1.0,0.3826809061271669,0,0.4189727172846749,0,0.38828792468999956,0
BigCodeBench/34,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 're', 'wordcloud']",0,13,2,1,1,0,0,0,0,1,3,0,1.0,0,2.9301,0,0,0,1.0,0.393806272957642,0,0.3897078667933514,0,0.5617753406622157,1
BigCodeBench/39,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,16,5,0,0,0,0,0,0,1,3,0,1.0,0,2.189,0,0,0,0.9143,0.3342759840519504,0,0.47630933311218165,0,0.382221051660901,0
BigCodeBench/41,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib', 'scipy']",0,12,2,0,0,0,0,0,0,1,4,0,1.0,0,2.5062,0,0,0,1.0,0.5694041557724935,1,0.7173363312639952,1,0.5972330118776303,1
BigCodeBench/42,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,15,2,0,0,0,0,0,0,1,4,0,1.0,0,1.7516,0,0,0,0.9375,0.5449712212182892,1,0.48760387112518777,0,0.532833340909754,1
BigCodeBench/49,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 'matplotlib']",0,14,3,1,1,0,0,0,0,1,3,0,1.0,0,1.7309,0,0,0,1.0,0.5298059668682379,1,0.5919189476706617,1,0.5441826030452576,1
BigCodeBench/63,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,7,1,0,0,0,0,0,0,1,2,0,1.0,0,2.1518,0,0,0,0.7778,0.5571972848247847,1,0.610993746271059,1,0.6778226897473095,1
BigCodeBench/65,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,11,1,0,0,0,0,0,0,1,2,0,1.0,0,2.0522,0,0,0,0.8462,0.4466191830901352,0,0.3215465341472167,0,0.5765084198202102,1
BigCodeBench/76,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['django', 'string', 'random']",0,12,7,1,2,0,0,0,0,1,3,0,1.0,0,2.8727,0,0,0,1.0,0.5644893791852338,1,0.5614153205298593,1,0.5634214229543598,1
BigCodeBench/81,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['flask_restful', 'flask', 'requests']",0,12,1,0,0,0,0,0,0,2,3,0,1.0,0,2.1887,0,0,0,1.0,0.5737556837039788,1,0.39290423285560694,0,0.6152666762878154,1
BigCodeBench/93,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'matplotlib', 'sklearn']",0,16,4,1,1,0,0,0,0,1,4,0,1.0,0,2.5282,0,0,0,1.0,0.5978022579088724,1,0.5803947521998423,1,0.5176165103900336,1
BigCodeBench/94,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,14,1,0,0,0,0,0,0,1,3,0,1.0,0,1.7822,0,0,0,1.0,0.6695360298735173,1,0.6710707271445686,1,0.5929600120296644,1
BigCodeBench/102,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'sklearn', 'matplotlib', 'seaborn']",0,10,1,0,0,0,0,0,0,1,4,0,1.0,0,1.8352,0,0,0,0.9091,0.6027582806304322,1,0.5531537211786953,1,0.6186546878628624,1
BigCodeBench/105,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'seaborn']",0,23,5,1,3,0,0,0,0,1,3,0,1.0,0,3.1275,0,0,0,1.2105,0.3975601826512419,0,0.3548120930893159,0,0.42183902819821556,0
