task_id,model_name,split,label,entry_point,libs,meta_parse_error,classical_loc,classical_cyclomatic_complexity,classical_max_nesting_depth,ast_if_count,ast_for_count,ast_while_count,ast_try_count,ast_except_count,ast_return_count,ast_import_count,ast_has_error_handling,align_lib_coverage,align_missing_libs,align_length_ratio,smell_hardcoded_return_funcs,smell_is_very_short,logreg_prob,logreg_pred,lgbm_prob,lgbm_pred,rf_prob,rf_pred
BigCodeBench/4,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'itertools']",0,7,1,0,0,0,0,0,0,1,2,0,0.4,3,1.9105,0,0,0.6884571848215526,1,0.5221093707245424,1,0.7651488451388083,1
BigCodeBench/5,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random']",0,12,3,1,0,1,0,0,0,2,2,0,0.3333,2,2.8014,0,0,0.6106594497135253,1,0.4198158433480626,0,0.49513097072667484,0
BigCodeBench/13,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['subprocess', 'ftplib', 'os']",0,23,6,4,2,1,0,1,1,2,3,1,0.5,1,1.7902,0,0,0.2156973805804531,0,0.142858254589031,0,0.2887858047525289,0
BigCodeBench/18,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['glob', 'subprocess', 'random', 'os', 'csv']",0,20,5,3,1,1,0,1,1,3,5,1,0.3333,2,2.4189,0,0,0.21059384906145312,0,0.055045673178416625,0,0.25723838088245105,0
BigCodeBench/32,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['bs4', 'requests']",0,14,3,2,1,0,0,1,1,3,2,1,0.5,1,2.5304,0,0,0.37811187884380126,0,0.40044643106126016,0,0.31692619820226314,0
BigCodeBench/34,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 're', 'wordcloud']",0,13,2,1,1,0,0,0,0,1,3,0,1.0,0,2.9301,0,0,0.39454311426036437,0,0.3499895379999722,0,0.5205463135343013,1
BigCodeBench/39,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,16,5,0,0,0,0,0,0,1,3,0,0.6,2,2.189,0,0,0.36855222332338794,0,0.26605013392821164,0,0.39621907418276864,0
BigCodeBench/41,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib', 'scipy']",0,12,2,0,0,0,0,0,0,1,4,0,0.75,1,2.5062,0,0,0.5566817703332227,1,0.6398180571504866,1,0.5533105003606995,1
BigCodeBench/42,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,15,2,0,0,0,0,0,0,1,4,0,0.6,2,1.7516,0,0,0.5543885456909465,1,0.5449730971743246,1,0.49940472144372505,0
BigCodeBench/49,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 'matplotlib']",0,14,3,1,1,0,0,0,0,1,3,0,0.6,2,1.7309,0,0,0.5103381027038418,1,0.42162391360923995,0,0.522775478988965,1
BigCodeBench/63,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,7,1,0,0,0,0,0,0,1,2,0,0.6667,1,2.1518,0,0,0.5573383601716083,1,0.5340878545898257,1,0.7553997369804007,1
BigCodeBench/65,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,11,1,0,0,0,0,0,0,1,2,0,0.6667,1,2.0522,0,0,0.46626805812088423,0,0.23390051624247615,0,0.6490754490321684,1
BigCodeBench/76,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['django', 'string', 'random']",0,12,7,1,2,0,0,0,0,1,3,0,0.0,1,2.8727,0,0,0.4907520770596809,0,0.4111481360668898,0,0.47583150067543817,0
BigCodeBench/81,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['flask_restful', 'flask', 'requests']",0,12,1,0,0,0,0,0,0,2,3,0,0.25,3,2.1887,0,0,0.5556919600696856,1,0.4503333506211735,0,0.6075648998560097,1
BigCodeBench/93,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'matplotlib', 'sklearn']",0,16,4,1,1,0,0,0,0,1,4,0,0.6667,2,2.5282,0,0,0.6155644040636782,1,0.5533166633925759,1,0.48771793908652905,0
BigCodeBench/94,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'scipy']",0,14,1,0,0,0,0,0,0,1,3,0,0.6,2,1.7822,0,0,0.6556327119321208,1,0.700236316068101,1,0.5714174836215142,1
BigCodeBench/102,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'sklearn', 'matplotlib', 'seaborn']",0,10,1,0,0,0,0,0,0,1,4,0,0.75,1,1.8352,0,0,0.5980694035685785,1,0.46954350244213605,0,0.5934040728569855,1
BigCodeBench/105,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'seaborn']",0,23,5,1,3,0,0,0,0,1,3,0,0.5,2,3.1275,0,0,0.39656394983489535,0,0.3413170711619731,0,0.41449110355914515,0
BigCodeBench/106,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,32,6,1,3,1,0,0,0,1,3,0,0.6,2,3.2409,0,0,0.33268214383439365,0,0.3268080579473263,0,0.4040739394541145,0
BigCodeBench/112,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib']",0,13,3,1,2,0,0,0,0,1,2,0,0.5,2,2.3744,0,0,0.6049842951551426,1,0.5480113996464058,1,0.5386856178433878,1
BigCodeBench/117,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'random']",0,18,8,1,3,0,0,0,0,1,3,0,0.5,2,2.245,0,0,0.4366045809090645,0,0.5964517594652401,1,0.438769866661319,0
BigCodeBench/141,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['statistics', 'pandas', 'numpy']",0,16,4,1,1,1,0,0,0,1,3,0,0.5,2,0.5571,0,0,0.32705998303254724,0,0.4278687986981554,0,0.4756398858446772,0
BigCodeBench/157,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'seaborn']",0,16,3,1,2,0,0,0,0,1,4,0,0.6,2,2.3461,0,0,0.5038925317154455,1,0.36353235991658134,0,0.503021157022644,1
BigCodeBench/161,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 're']",0,21,4,2,2,1,0,0,0,1,3,0,1.0,0,3.1421,0,0,0.33579405184127215,0,0.2417068207514202,0,0.4053316415292727,0
